Voltage-Current,,,,,
Time,Voltage(V),Current(A),D+(V),D-(V),Date
10:31:27,5.199,0.0581,0.01,0.01,2023-04-25
10:31:28,5.199,0.0581,0.02,0.01,2023-04-25
10:31:29,5.199,0.058,0.02,0.01,2023-04-25
10:31:30,5.199,0.0581,0.02,0.01,2023-04-25
10:31:31,5.199,0.0582,0.02,0.01,2023-04-25
10:31:32,5.199,0.0581,0.02,0.01,2023-04-25
10:31:33,5.199,0.0581,0.02,0.01,2023-04-25
10:31:34,5.199,0.0581,0.02,0.01,2023-04-25
10:31:35,5.199,0.0581,0.01,0.01,2023-04-25
10:31:36,5.2,0.0581,0.01,0.01,2023-04-25
10:31:37,5.2,0.0581,0.01,0.01,2023-04-25
10:31:38,5.2,0.0581,0.01,0.01,2023-04-25
10:31:39,5.2,0.0581,0.01,0.01,2023-04-25
10:31:40,5.2,0.0581,0.01,0.01,2023-04-25
10:31:41,5.199,0.058,0.01,0.01,2023-04-25
10:31:42,5.2,0.058,0.01,0.01,2023-04-25
10:31:43,5.2,0.0581,0.01,0.01,2023-04-25
10:31:44,5.199,0.0581,0.01,0.01,2023-04-25
10:31:45,5.199,0.0581,0.01,0.01,2023-04-25
10:31:46,5.199,0.0582,0.01,0.01,2023-04-25
10:31:47,5.199,0.0582,0.01,0.01,2023-04-25
10:31:48,5.199,0.0581,0.01,0.01,2023-04-25
10:31:49,5.2,0.058,0.01,0.01,2023-04-25
10:31:50,5.199,0.0583,0.01,0.01,2023-04-25
10:31:51,5.199,0.0583,0.01,0.01,2023-04-25
10:31:52,5.199,0.0583,0.01,0.01,2023-04-25
10:31:53,5.199,0.0585,0.01,0.01,2023-04-25
10:31:54,5.199,0.0584,0.01,0.01,2023-04-25
10:31:55,5.2,0.0582,0.01,0.01,2023-04-25
10:31:56,5.199,0.0617,0.01,0.01,2023-04-25
10:31:57,5.2,0.058,0.01,0.01,2023-04-25
10:31:58,5.2,0.0581,0.01,0.01,2023-04-25
10:31:59,5.199,0.0581,0.01,0.01,2023-04-25
10:32:00,5.199,0.058,0.01,0.01,2023-04-25
10:32:01,5.199,0.0581,0.01,0.01,2023-04-25
10:32:02,5.199,0.0581,0.01,0.01,2023-04-25
10:32:03,5.199,0.0581,0.01,0.01,2023-04-25
10:32:04,5.199,0.0581,0.01,0.01,2023-04-25
10:32:05,5.199,0.058,0.01,0.01,2023-04-25
10:32:06,5.199,0.058,0.01,0.01,2023-04-25
10:32:07,5.199,0.058,0.02,0.01,2023-04-25
10:32:08,5.198,0.0623,0.01,0.01,2023-04-25
10:32:09,5.198,0.058,0.01,0.01,2023-04-25
10:32:10,5.199,0.0584,0.01,0.01,2023-04-25
10:32:11,5.2,0.0583,0.01,0.01,2023-04-25
10:32:12,5.199,0.0581,0.01,0.01,2023-04-25
10:32:13,5.199,0.0582,0.01,0.01,2023-04-25
10:32:14,5.199,0.0582,0.01,0.01,2023-04-25
10:32:15,5.2,0.0582,0.01,0.01,2023-04-25
10:32:16,5.199,0.0585,0.01,0.01,2023-04-25
10:32:17,5.199,0.0585,0.01,0.01,2023-04-25
10:32:18,5.199,0.0586,0.01,0.01,2023-04-25
10:32:19,5.199,0.0586,0.01,0.01,2023-04-25
10:32:20,5.199,0.0587,0.02,0.01,2023-04-25
10:32:21,5.199,0.0587,0.02,0.01,2023-04-25
10:32:22,5.199,0.0584,0.02,0.01,2023-04-25
10:32:23,5.2,0.0583,0.02,0.01,2023-04-25
10:32:24,5.199,0.0582,0.02,0.01,2023-04-25
10:32:25,5.199,0.0583,0.02,0.01,2023-04-25
10:32:26,5.199,0.0583,0.01,0.01,2023-04-25
10:32:27,5.2,0.0585,0.01,0.01,2023-04-25
10:32:28,5.199,0.0583,0.01,0.01,2023-04-25
10:32:29,5.199,0.0582,0.01,0.01,2023-04-25
10:32:30,5.199,0.0583,0.01,0.01,2023-04-25
10:32:31,5.199,0.0583,0.01,0.01,2023-04-25
10:32:32,5.199,0.0583,0.01,0.01,2023-04-25
10:32:33,5.199,0.0583,0.01,0.01,2023-04-25
10:32:34,5.199,0.0582,0.01,0.01,2023-04-25
10:32:35,5.2,0.0582,0.01,0.01,2023-04-25
10:32:36,5.199,0.0583,0.01,0.01,2023-04-25
10:32:37,5.199,0.0582,0.01,0.01,2023-04-25
10:32:38,5.199,0.0582,0.01,0.01,2023-04-25
10:32:39,5.199,0.0582,0.01,0.01,2023-04-25
10:32:40,5.199,0.0581,0.01,0.01,2023-04-25
10:32:41,5.199,0.0582,0.01,0.01,2023-04-25
10:32:42,5.199,0.0582,0.01,0.01,2023-04-25
10:32:43,5.199,0.0582,0.01,0.01,2023-04-25
10:32:44,5.199,0.0582,0.01,0.01,2023-04-25
10:32:45,5.199,0.0582,0.01,0.01,2023-04-25
10:32:46,5.199,0.0582,0.01,0.01,2023-04-25
10:32:47,5.199,0.0582,0.01,0.01,2023-04-25
10:32:48,5.199,0.0582,0.01,0.01,2023-04-25
10:32:49,5.2,0.0584,0.01,0.01,2023-04-25
10:32:50,5.199,0.0583,0.01,0.01,2023-04-25
10:32:51,5.199,0.0583,0.01,0.01,2023-04-25
10:32:52,5.199,0.0582,0.01,0.01,2023-04-25
10:32:53,5.199,0.0584,0.01,0.01,2023-04-25
10:32:54,5.2,0.0583,0.01,0.01,2023-04-25
10:32:55,5.199,0.0583,0.01,0.01,2023-04-25
10:32:56,5.199,0.0584,0.01,0.01,2023-04-25
10:32:57,5.199,0.0584,0.01,0.01,2023-04-25
10:32:58,5.199,0.0584,0.01,0.01,2023-04-25
10:32:59,5.196,0.0674,0.01,0.01,2023-04-25
10:33:00,5.199,0.0601,0.01,0.01,2023-04-25
10:33:01,5.2,0.0584,0.01,0.01,2023-04-25
10:33:02,5.199,0.0583,0.01,0.01,2023-04-25
10:33:03,5.199,0.0582,0.01,0.01,2023-04-25
10:33:04,5.199,0.0582,0.01,0.01,2023-04-25
10:33:05,5.199,0.0583,0.01,0.01,2023-04-25
10:33:06,5.199,0.0582,0.01,0.01,2023-04-25
10:33:07,5.199,0.0583,0.02,0.01,2023-04-25
10:33:08,5.199,0.0621,0.02,0.01,2023-04-25
10:33:09,5.199,0.0586,0.02,0.01,2023-04-25
10:33:10,5.199,0.0586,0.02,0.01,2023-04-25
10:33:11,5.199,0.0587,0.02,0.01,2023-04-25
10:33:12,5.199,0.0585,0.02,0.01,2023-04-25
10:33:13,5.199,0.0587,0.02,0.01,2023-04-25
